unit_path	op_kind	source_path	target_path	result	note
/data/data/com.termux/files/home/02.ERP-system/01.sales	archive_payload	/data/data/com.termux/files/home/02.ERP-system/01.sales/020.architecture/1213_ERP_SALES_WHOLE_DESIGN_STATUS.md	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_224743/module-design-reset/01.sales/020.architecture/1213_ERP_SALES_WHOLE_DESIGN_STATUS.md	moved	module payload archived during reset
/data/data/com.termux/files/home/02.ERP-system/01.sales	archive_payload	/data/data/com.termux/files/home/02.ERP-system/01.sales/060.integration/1082_ERP_CUSTOMER_SALES_LABOR_BASELINE_BOUNDARY_RULE.md	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_224743/module-design-reset/01.sales/060.integration/1082_ERP_CUSTOMER_SALES_LABOR_BASELINE_BOUNDARY_RULE.md	moved	module payload archived during reset
/data/data/com.termux/files/home/02.ERP-system/01.sales	archive_payload	/data/data/com.termux/files/home/02.ERP-system/01.sales/060.integration/1088_ERP_CUSTOMER_SALES_TO_OPERATIONS_DEPENDENCY_CHAIN.md	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_224743/module-design-reset/01.sales/060.integration/1088_ERP_CUSTOMER_SALES_TO_OPERATIONS_DEPENDENCY_CHAIN.md	moved	module payload archived during reset
/data/data/com.termux/files/home/02.ERP-system/01.sales	archive_payload	/data/data/com.termux/files/home/02.ERP-system/01.sales/120.implementation/555_ERP_CUSTOMER_AND_SALES_EXPANSION_POSITION.md	/data/data/com.termux/files/home/02.ERP-system/99.archive/20260422_224743/module-design-reset/01.sales/120.implementation/555_ERP_CUSTOMER_AND_SALES_EXPANSION_POSITION.md	moved	module payload archived during reset
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/010.constitution	/data/data/com.termux/files/home/02.ERP-system/01.sales/010.constitution	exists	directory already exists
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/020.architecture	/data/data/com.termux/files/home/02.ERP-system/01.sales/020.architecture	exists	directory already exists
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/030.model	/data/data/com.termux/files/home/02.ERP-system/01.sales/030.model	exists	directory already exists
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/050.flow	/data/data/com.termux/files/home/02.ERP-system/01.sales/050.flow	exists	directory already exists
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/060.integration	/data/data/com.termux/files/home/02.ERP-system/01.sales/060.integration	exists	directory already exists
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/070.operations	/data/data/com.termux/files/home/02.ERP-system/01.sales/070.operations	exists	directory already exists
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/080.policy	/data/data/com.termux/files/home/02.ERP-system/01.sales/080.policy	exists	directory already exists
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/100.security	/data/data/com.termux/files/home/02.ERP-system/01.sales/100.security	exists	directory already exists
/data/data/com.termux/files/home/02.ERP-system/01.sales	dir	/data/data/com.termux/files/home/02.ERP-system/01.sales/110.infrastructure	/data/data/com.termux/files/home/02.ERP-system/01.sales/110.infrastructure	exists	directory already exists
